date,category,commodity,unit,gtqprice,usdprice
1999-08-15,cereals and tubers,Potatoes,100 Pounds,71.25,9.3732
1999-08-15,cereals and tubers,Rice (high quality),100 Pounds,209.17,27.5172
1999-08-15,cereals and tubers,Rice (medium quality),100 Pounds,190.0,24.9953
1999-08-15,cereals and tubers,Sorghum,100 Pounds,57.08,7.5091
1999-08-15,miscellaneous food,Jalapeño pepper (big size),36 Pounds,39.58,5.2069
1999-08-15,miscellaneous food,"Lemons (Criollo, medium size)",17.5 KG,55.83,7.3447
1999-08-15,pulses and nuts,Beans (black),100 Pounds,235.0,30.9153
1999-08-15,pulses and nuts,Beans (red),100 Pounds,307.08,40.3977
1999-08-15,pulses and nuts,Beans (white),100 Pounds,404.17,53.1703
1999-08-15,vegetables and fruits,Bananas (medium size),100 Pounds,68.0,8.9457
1999-08-15,vegetables and fruits,Cabbage,27 KG,14.25,1.8746
1999-08-15,vegetables and fruits,Carrots,13.92 KG,17.5,2.3022
1999-08-15,vegetables and fruits,"Lemons (Persa, medium size)",110 KG,93.33,12.278
1999-08-15,vegetables and fruits,"Oranges (Valencia, medium size)",23.9 KG,28.25,3.7164
1999-08-15,vegetables and fruits,Plantains (big size),29 KG,77.08,10.1402
1999-08-15,vegetables and fruits,Plantains (medium size),20.5 KG,67.92,8.9352
1999-09-15,cereals and tubers,Maize (white),100 Pounds,54.8,7.0528
1999-09-15,cereals and tubers,Maize (yellow),100 Pounds,64.0,8.2368
1999-09-15,cereals and tubers,Potatoes,100 Pounds,76.67,9.8674
1999-09-15,cereals and tubers,Rice (high quality),100 Pounds,205.0,26.3835
1999-09-15,cereals and tubers,Rice (medium quality),100 Pounds,187.13,24.0837
1999-09-15,cereals and tubers,Sorghum,100 Pounds,62.8,8.0824
1999-09-15,miscellaneous food,Jalapeño pepper (big size),36 Pounds,54.33,6.9923
1999-09-15,miscellaneous food,"Lemons (Criollo, medium size)",17.5 KG,55.33,7.121
1999-09-15,pulses and nuts,Beans (black),100 Pounds,207.67,26.7272
1999-09-15,pulses and nuts,Beans (red),100 Pounds,300.67,38.6963
1999-09-15,pulses and nuts,Beans (white),100 Pounds,389.67,50.1506
1999-09-15,vegetables and fruits,Bananas (medium size),100 Pounds,65.0,8.3655
1999-09-15,vegetables and fruits,Cabbage,27 KG,12.33,1.5869
1999-09-15,vegetables and fruits,Carrots,13.92 KG,21.2,2.7284
1999-09-15,vegetables and fruits,"Lemons (Persa, medium size)",110 KG,83.33,10.7246
